flink_line,suite,invocation_id,test_class,test_name,display_name,plan_index,root_index,fully_accelerated,label,category,note,source_url
2.2,runtime,c4686a93-9e27-4f6d-a86e-39690f4cc9d6,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[223]","[223] [API as SQL] ceil(f2, DAY)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,2036b3e4-99d7-4196-935d-4e79f3207e56,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[224]",[224] [SQL] CEIL(f2 TO DAY),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,8ce3e8ab-5ed8-474c-bb4c-ba0b51d7f110,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[225]","[225] [API] ceil(f1, WEEK)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,de80992f-620d-454d-87e2-70109d6a66d7,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[226]","[226] [API as SQL] ceil(f1, WEEK)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,f713832b-1576-4d81-99ad-804c54ee43fc,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[227]",[227] [SQL] CEIL(f1 TO WEEK),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,bdcdb2c1-3cb5-453f-a7cd-2ecabae5a6c9,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[228]","[228] [API] ceil(f2, WEEK)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,b7c3335d-f39b-4d3e-8828-6d8fcd2127a3,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[229]","[229] [API as SQL] ceil(f2, WEEK)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,6ff01ce9-c957-41d0-b811-81b722dbbe48,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[22]",[22] [SQL] EXTRACT(MICROSECOND FROM f2),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,259395f4-d56f-484c-abdc-8c30a5d92751,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[230]",[230] [SQL] CEIL(f2 TO WEEK),1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: TIMESTAMP,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
2.2,runtime,fce01ec2-d8d0-4567-91d4-0f70198e3d15,org.apache.flink.table.planner.functions.TimeFunctionsITCase,"test(TestCase, MiniCluster)[231]","[231] [API] ceil(f1, MONTH)",1,1,False,should be accelerated,scalar-expression,Calc: UDF return type not native: DATE,https://github.com/apache/flink/blob/release-2.2.1/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/functions/TimeFunctionsITCase.java
